,date,open,high,low,close,volume,symbol
1668,2017-08-17,4469.93,4485.39,4200.74,4285.08,647.86,ETH
1667,2017-08-18,4285.08,4371.52,3938.77,4108.37,1178.07,ETH
1666,2017-08-19,4108.37,4184.69,3850.0,4139.98,371.15,ETH
1665,2017-08-20,4139.98,4211.08,4032.62,4086.29,463.54,ETH
1664,2017-08-21,4086.29,4119.62,3911.79,4016.0,685.12,ETH
1663,2017-08-22,4016.0,4104.82,3400.0,4040.0,939.91,ETH
1662,2017-08-23,4040.0,4265.8,4013.89,4114.01,980.5,ETH
1661,2017-08-24,4114.01,4371.68,4085.01,4316.01,770.46,ETH
1660,2017-08-25,4316.01,4453.91,4247.48,4280.68,563.36,ETH
1659,2017-08-26,4280.68,4367.0,4212.41,4337.44,225.76,ETH
1658,2017-08-27,4337.44,4400.0,4285.54,4310.01,347.47,ETH
1657,2017-08-28,4310.01,4399.82,4124.54,4386.69,593.15,ETH
1656,2017-08-29,4386.69,4625.85,4313.55,4587.48,594.12,ETH
1655,2017-08-30,4587.48,4647.51,4416.01,4555.14,790.13,ETH
1654,2017-08-31,4555.14,4745.42,4555.14,4724.89,550.18,ETH
1653,2017-09-01,4724.89,4885.55,4654.88,4834.91,554.18,ETH
1652,2017-09-02,4834.91,4939.19,4286.87,4472.14,888.18,ETH
1651,2017-09-03,4472.14,4714.76,4298.33,4509.08,666.62,ETH
1650,2017-09-04,4509.08,4527.49,3972.51,4100.11,1309.91,ETH
1649,2017-09-05,4100.11,4484.99,3603.0,4366.47,1175.2,ETH
1648,2017-09-06,4366.47,4662.87,4335.26,4619.77,779.5,ETH
1647,2017-09-07,4619.77,4788.59,4438.19,4691.61,481.83,ETH
1646,2017-09-08,4691.61,4735.39,4028.93,4282.8,1108.34,ETH
1645,2017-09-09,4282.8,4426.62,4150.06,4258.81,658.59,ETH
1644,2017-09-10,4258.81,4283.0,3801.0,4130.37,648.94,ETH
1643,2017-09-11,4130.37,4334.43,4098.91,4208.47,685.57,ETH
1642,2017-09-12,4208.47,4394.59,4040.8,4163.72,873.9,ETH
1641,2017-09-13,4163.72,4165.38,3760.0,3944.69,901.25,ETH
1640,2017-09-14,3944.69,3993.0,3165.13,3189.02,1642.54,ETH
1639,2017-09-15,3189.02,3856.0,2817.0,3700.0,1949.32,ETH
1638,2017-09-16,3700.0,3950.0,3470.66,3714.95,1280.1,ETH
1637,2017-09-17,3714.95,3748.21,3499.02,3699.99,676.16,ETH
1636,2017-09-18,3699.99,4123.2,3690.0,4035.01,1027.67,ETH
1635,2017-09-19,4035.01,4089.97,3830.91,3910.04,898.81,ETH
1634,2017-09-20,3910.04,4046.08,3820.0,3900.0,719.59,ETH
1633,2017-09-21,3900.0,3910.0,3567.0,3609.99,971.06,ETH
1632,2017-09-22,3609.99,3750.0,3505.55,3595.87,833.3,ETH
1631,2017-09-23,3595.87,3817.19,3542.91,3780.0,747.79,ETH
1630,2017-09-24,3780.0,3789.99,3622.76,3660.02,659.82,ETH
1629,2017-09-25,3660.02,3979.87,3653.69,3920.75,720.64,ETH
1628,2017-09-26,3920.75,3976.99,3850.05,3882.35,523.31,ETH
1627,2017-09-27,3882.35,4249.94,3872.81,4193.0,625.3,ETH
1626,2017-09-28,4193.0,4300.0,4101.0,4174.5,839.55,ETH
1625,2017-09-29,4174.5,4263.86,3952.01,4174.69,1561.22,ETH
1624,2017-09-30,4174.69,4380.0,4138.1,4378.51,705.52,ETH
1623,2017-10-01,4378.51,4406.52,4240.04,4378.48,724.9,ETH
1622,2017-10-02,4378.48,4561.63,4360.0,4380.0,634.55,ETH
1621,2017-10-03,4380.0,4467.33,4180.8,4310.0,1070.97,ETH
1620,2017-10-04,4310.0,4373.0,4142.0,4208.59,859.82,ETH
1619,2017-10-05,4208.59,4355.0,4110.0,4292.43,760.44,ETH
1618,2017-10-06,4292.43,4417.0,4292.0,4369.0,502.17,ETH
1617,2017-10-07,4369.0,4479.5,4312.56,4423.0,288.14,ETH
1616,2017-10-08,4423.0,4658.0,4423.0,4640.0,504.13,ETH
1615,2017-10-09,4640.0,4889.98,4550.0,4786.95,639.27,ETH
1614,2017-10-10,4786.95,4960.0,4680.59,4783.06,1036.4,ETH
1613,2017-10-11,4783.06,4881.61,4710.0,4821.43,736.72,ETH
1612,2017-10-12,4821.43,5439.99,4810.16,5430.0,1267.18,ETH
1611,2017-10-13,5430.0,5846.17,5379.84,5649.98,1865.9,ETH
1610,2017-10-14,5649.98,5900.0,5580.01,5869.99,966.19,ETH
1609,2017-10-15,5869.99,5922.3,5400.01,5709.99,1329.45,ETH
1608,2017-10-16,5709.99,5788.91,5585.19,5760.02,1516.11,ETH
1607,2017-10-17,5760.02,5774.98,5508.63,5595.0,1422.23,ETH
1606,2017-10-18,5595.0,5596.0,5037.95,5512.06,2295.6,ETH
1605,2017-10-19,5512.06,5710.0,5490.26,5683.9,1869.04,ETH
1604,2017-10-20,5683.9,6110.0,5600.0,6010.01,1930.56,ETH
1603,2017-10-21,6010.01,6171.0,5850.03,6024.97,1650.65,ETH
1602,2017-10-22,6024.97,6060.0,5720.03,5950.02,1347.95,ETH
1601,2017-10-23,5950.02,6080.0,5621.03,5915.93,1788.86,ETH
1600,2017-10-24,5915.93,5925.0,5450.0,5477.03,2555.89,ETH
1599,2017-10-25,5477.03,5704.96,5286.98,5689.99,2256.1,ETH
1598,2017-10-26,5689.99,5939.99,5650.0,5861.77,1959.75,ETH
1597,2017-10-27,5861.77,5980.0,5649.24,5768.83,1394.13,ETH
1596,2017-10-28,5768.83,5850.02,5630.03,5719.64,1269.38,ETH
1595,2017-10-29,5719.64,6189.88,5648.01,6169.98,1783.44,ETH
1594,2017-10-30,6169.98,6248.68,6030.0,6120.5,1467.03,ETH
1593,2017-10-31,6120.5,6498.01,6100.0,6463.0,1498.91,ETH
1592,2017-11-01,6463.0,6774.67,6338.02,6753.98,1659.85,ETH
