date,funding_rate,predicted_funding_rate,open_interest,last_price,index_price,mark_price,amount_buy,amount_sell,symbol,open,high,low,close,volume,turnover
1642032000,-0.000221836653386,-0.000330551792829,893855792.093626,43885.8057768924,43922.2891832669,43912.533625498,3083176,1179778,BTCUSD,43884,43989.5,43866.5,43978,7235711,164.78251741
1642032300,-0.000223,-0.000273205996132,895884852.490329,43966.6262088975,44006.5609284333,43996.6459864604,2997294,1657756,BTCUSD,43978,44004.5,43924,43924,11965314,272.07911857
1642032600,-0.000223,-0.000368679347826,904794147.230978,43950.7010869565,43999.1939855072,43989.7142119565,6134249,5063076,BTCUSD,43924,43924.5,43874,43890,2982122,67.92698016
1642032900,-0.000223,-0.00042727244898,908239672.168367,43884.4744897959,43921.0998367347,43911.7328877551,567398,3238130,BTCUSD,43890,43890,43861.5,43861.5,2686631,61.23865593
1642033200,-0.000223,-0.000375839756592,908963062.007099,43862.4234279919,43887.211703854,43877.8588133874,57219,1889335,BTCUSD,43861.5,43866.5,43834.5,43866.5,8888413,202.7205532
1642033500,-0.000223,-0.000310061866126,906524472.014199,43857.8930020284,43882.6947261663,43873.2980628803,6863249,4276173,BTCUSD,43866.5,43894,43866,43872.5,4534407,103.35264198
1642033800,-0.000223,-0.000259273364486,901514679.906542,43867.0969626168,43895.0176635514,43886.0126635514,1886040,1828610,BTCUSD,43872.5,43893.5,43835,43844.5,2924856,66.67872002
1642034100,-0.000223,-0.000237990453461,900460452.174224,43843.0733890215,43874.305,43865.2662529833,126912,613409,BTCUSD,43844.5,43845,43844.5,43845,426451,9.72640741
1642034400,-0.000223,-0.000221422193878,900392249.357143,43844.7487244898,43869.3881505102,43860.4383035714,99771,239898,BTCUSD,43845,43845,43762,43762.5,4860473,110.97518169
1642034700,-0.000223,-0.000204041484716,900295255.105895,43789.0098253275,43819.5291484716,43810.9510917031,1567437,4180347,BTCUSD,43762.5,43800,43762,43762,2046008,46.72934635
1642035000,-0.000223,-0.000195102310231,899249748.892189,43755.4334433443,43773.0566556656,43764.4387348735,1100162,4455574,BTCUSD,43762,43762.5,43693.5,43714.5,5624155,128.60359533
1642035300,-0.000223,-0.000172820304569,898452951.290355,43715.4517766497,43738.3637563452,43729.5714720812,1084534,858389,BTCUSD,43714.5,43721.5,43703,43721.5,1724709,39.45715826
1642035600,-0.000223,-0.000151296996663,898303892.261402,43736.8008898776,43752.1474860957,43743.4530367075,2625642,609971,BTCUSD,43721.5,43771.5,43721,43725.5,2749267,62.83562497
1642035900,-0.000223,-0.000130864009379,898578986.014068,43738.3106682298,43757.9335169988,43749.4015826495,1823525,421556,BTCUSD,43725.5,43768.5,43725,43752.5,2413857,55.1748824
1642036200,-0.000223,-0.000119798065296,899519069.228537,43757.5217654172,43781.8775695284,43773.5145465538,1238704,184119,BTCUSD,43752.5,43779.5,43752,43755.5,1418834,32.4217905
1642036500,-0.000223,-0.000116112582781,898656361.610596,43768.7245033113,43797.3528609272,43789.1821059603,752188,465241,BTCUSD,43755.5,43776,43754,43754.5,917556,20.96585248
